"","up,up","up,down","down,up","down,down","p.vaule","FDR"
"TTTY15 & MGC27382",0.333333333333333,0,0,0.0333333333333333,0.0171,0.0291176470588235
"STOML3 & NLRP13",0.333333333333333,0,0,0,0.008,0.0291176470588235
"ABCB11 & C16orf46",0.333333333333333,0,0,0.0333333333333333,0.0274,0.0351282051282051
"NECAB1 & LCE1B",0.333333333333333,0,0,0.0333333333333333,0.0301,0.037625
"LOC100128262 & CCL16",0.266666666666667,0,0,0.0333333333333333,0.0391,0.0425
"SEMA7A & GK2",0.366666666666667,0,0,0.0333333333333333,0.0111,0.0291176470588235
"C18orf16 & STK31",0.3,0,0,0,0.019,0.0291176470588235
"KCNH2 & PDYN",0.3,0,0,0,0.0193,0.0291176470588235
"KLHL21 & FAM13A1",0.0333333333333333,0,0,0.933333333333333,0.5207,0.553936170212766
"LOC646627 & C18orf16",0.3,0,0,0,0.019,0.0291176470588235
"CLEC1B & S100A1L",0.333333333333333,0,0,0.0333333333333333,0.0194,0.0291176470588235
"CBLC & MS4A8B",0.3,0,0,0,0.0179,0.0291176470588235
"S100A1L & NCRNA00114",0.333333333333333,0,0,0.0333333333333333,0.0185,0.0291176470588235
"KCNH2 & STOML3",0.3,0,0,0,0.0189,0.0291176470588235
"C15orf45 & NLRP13",0.333333333333333,0,0,0,0.0082,0.0291176470588235
"PDYN & NLRP13",0.3,0,0,0,0.0182,0.0291176470588235
"PDYN & STOML3",0.3,0,0,0,0.0193,0.0291176470588235
"CYorf15A & KCNH2",0.3,0,0,0,0.0198,0.0291176470588235
"STK31 & STOML3",0.3,0,0,0,0.0189,0.0291176470588235
"DAGLB & LOC730134",0.333333333333333,0,0,0.0333333333333333,0.024,0.0321052631578947
"KCNH2 & NLRP13",0.3,0,0,0,0.0178,0.0291176470588235
"KLHL21 & TLE4",0.0333333333333333,0,0.1,0.8,0.5787,0.590510204081633
"LOC646627 & CYorf15A",0.3,0,0,0,0.0191,0.0291176470588235
"LOC100131864 & LOC148003",0.3,0,0,0,0.0225,0.0321052631578947
"LOC730134 & LOC286359",0.366666666666667,0,0,0.0333333333333333,0.0188,0.0291176470588235
"GPA33 & DSCR10",0.333333333333333,0,0,0.0333333333333333,0.0179,0.0291176470588235
"LOC646627 & STK31",0.3,0,0,0,0.0187,0.0291176470588235
"MAGEB3 & TTTY15",0.333333333333333,0,0,0.0333333333333333,0.0179,0.0291176470588235
"CYorf15A & C18orf16",0.3,0,0,0,0.0194,0.0291176470588235
"PDYN & C15orf45",0.3,0,0,0,0.0162,0.0291176470588235
"MYPN & ABCB11",0.333333333333333,0,0,0.0333333333333333,0.0233,0.0321052631578947
"CYorf15A & STK31",0.3,0,0,0,0.0189,0.0291176470588235
"LOC100128262 & FLJ37060",0.266666666666667,0,0,0.0333333333333333,0.039,0.0425
"CASP12 & CLEC1B",0.366666666666667,0,0,0.0333333333333333,0.0135,0.0291176470588235
"CYorf15A & STOML3",0.3,0,0,0,0.0183,0.0291176470588235
"LOC343052 & REG1P",0.3,0,0,0.0333333333333333,0.0184,0.0291176470588235
"MS4A8B & ADAM12",0.3,0,0,0,0.0149,0.0291176470588235
"CCL16 & FLJ37060",0.266666666666667,0,0,0.0333333333333333,0.039,0.0425
"STK31 & NLRP13",0.3,0,0,0,0.0178,0.0291176470588235
"MC4R & MEIS3",0.0333333333333333,0.3,0,0,0.0059,0.0291176470588235
"STOML3 & C15orf45",0.333333333333333,0,0,0,0.008,0.0291176470588235
"LCA5L & STX4",0.0333333333333333,0.0666666666666667,0.3,0.533333333333333,0.9852,0.9852
"FAM13A1 & TLE4",0.0333333333333333,0,0.1,0.833333333333333,0.5484,0.57125
"MAGEB18 & KRT78",0.366666666666667,0,0,0.0333333333333333,0.0244,0.0321052631578947
"CYorf15A & PDYN",0.3,0,0,0,0.0187,0.0291176470588235
"MGC27382 & CCL16",0.266666666666667,0,0,0.0333333333333333,0.0391,0.0425
"CMTM2 & DGKB",0.333333333333333,0,0,0.0333333333333333,0.0313,0.0381707317073171
"MAGEB3 & MGC27382",0.333333333333333,0,0,0.0333333333333333,0.017,0.0291176470588235
"GRM7 & OR5AK2",0.3,0,0,0,0.0193,0.0291176470588235
"RXRG & CCL16",0.266666666666667,0,0,0.0333333333333333,0.0391,0.0425
